Date,Open,High,Low,S&P,Adj Close,Volume
2016/1/22,1858.5,1902.25,1855.75,1899.25,1899.25,2106526
2016/1/24,null,null,null,null,null,null
2016/1/25,1899.5,1904.25,1867.5,1870.25,1870.25,1640401
2016/1/26,1871.75,1899.75,1851.25,1896,1896,1780235
2016/1/27,1885.25,1910,1864.5,1875,1875,2113363
2016/1/28,1880,1902.5,1865.75,1880.75,1880.75,2254109
2016/1/29,1878.75,1933,1876.5,1930,1930,2406399
2016/1/31,null,null,null,null,null,null
2016/2/1,1929.75,1940,1912.5,1931.25,1931.25,1748062
2016/2/2,1928.5,1929.25,1889,1897.5,1897.5,2102411
2016/2/3,1895,1912.25,1865,1908.5,1908.5,2848193
2016/2/4,1907.75,1922.25,1890.25,1907.75,1907.75,2255360
2016/2/5,1905.25,1914.5,1865.75,1875.25,1875.25,2320680
2016/2/7,null,null,null,null,null,null
2016/2/8,1876.25,1884.5,1821.75,1852,1852,2674512
2016/2/9,1849.75,1863.75,1825.75,1848.25,1848.25,2792208
2016/2/10,1850,1877.75,1838.5,1846.75,1846.75,2359881
2016/2/11,1842.25,1847.25,1802.5,1824.5,1824.5,3203999
2016/2/12,1827.25,1860.75,1822.5,1858.25,1858.25,2018154
2016/2/14,null,null,null,null,null,null
2016/2/15,null,null,null,null,null,null
2016/2/16,1865.25,1892.75,1865,1888.75,1888.75,2034059
2016/2/17,1888.25,1928,1881.5,1922.75,1922.75,1854185
2016/2/18,1926.75,1933.5,1911.25,1916.5,1916.5,1615605
2016/2/19,1917.5,1922.75,1898.5,1914.5,1914.5,1616647
2016/2/21,null,null,null,null,null,null
2016/2/22,1911,1943.75,1908.25,1936.25,1936.25,1425321
2016/2/23,1934,1938,1913.75,1916,1916,1600879
2016/2/24,1914,1933.75,1886.75,1930.25,1930.25,2315370
2016/2/25,1933,1951.5,1920.25,1950.5,1950.5,1844284
2016/2/26,1949,1968.75,1941.25,1942.75,1942.75,1876651
2016/2/28,null,null,null,null,null,null
2016/2/29,1943,1956.25,1926.5,1929.5,1929.5,1826411
2016/3/1,1928,1978.5,1920.75,1978,1978,2035550
2016/3/2,1976.25,1984.75,1966.25,1983.5,1983.5,1821662
2016/3/3,1981.75,1992.5,1974.75,1990.5,1990.5,1555391
2016/3/4,1991,2007.5,1984,1995,1995,2247812
2016/3/6,null,null,null,null,null,null
2016/3/7,1994.5,2004.5,1984.5,1999,1999,1633347
2016/3/8,1999,2000.25,1976,1981,1981,1931272
2016/3/9,1981.75,1994,1978,1989,1989,1744984
2016/3/10,1990,2010.25,1967.25,1988.75,1988.75,2738172
2016/3/11,1988.5,2022.25,1987.5,2020,2020,1220530
2016/3/13,null,null,null,null,null,null
2016/3/14,2019.25,2024.5,2012,2018.75,2018.75,880362
2016/3/15,2019,2019.5,2004.5,2015.75,2015.75,923452
2016/3/16,2016.25,2032.25,2006.5,2027,2027,580253
2016/3/17,2026.75,2046.75,2015.75,2039.75,2039.75,479136
2016/3/18,2041.5,2048.75,2037,2048,2048,1775664
2016/3/20,null,null,null,null,null,null
2016/3/21,2036.5,2044.5,2031,2042.75,2042.75,1278261
2016/3/22,2043.25,2047.5,2028.75,2042.5,2042.5,1496196
2016/3/23,2043,2045.25,2025.25,2028.75,2028.75,1557185
2016/3/24,2028,2030.25,2012.25,2028.5,2028.5,1524072
2016/3/27,null,null,null,null,null,null
2016/3/28,2030.25,2039.75,2022,2028,2028,907834
2016/3/29,2027.75,2049.25,2019.25,2047.5,2047.5,1549483
2016/3/30,2048.5,2064.5,2046.75,2055.25,2055.25,1627085
2016/3/31,2055.5,2059.75,2047.25,2051.5,2051.5,1736311
2016/4/1,2052.75,2067,2035.25,2065,2065,2051323
2016/4/3,null,null,null,null,null,null
2016/4/4,2064,2071.5,2054.25,2057.5,2057.5,1380117
