Date1,Open,High,Low,Gold,Adj Close,Volume
2016/1/22,1098,1103.199951,1097.199951,1097.199951,1097.199951,4
2016/1/24,null,null,null,null,null,null
2016/1/25,1099.300049,1109.300049,1099.300049,1106.199951,1106.199951,8
2016/1/26,1115.099976,1121.699951,1114.300049,1121.699951,1121.699951,181
2016/1/27,1117.800049,1117.800049,1115.800049,1116.099976,1116.099976,168706
2016/1/28,1125.400024,1125.699951,1109.800049,1115.599976,1115.599976,52861
2016/1/29,1114.400024,1118.599976,1108.800049,1116.400024,1116.400024,6955
2016/1/31,null,null,null,null,null,null
2016/2/1,1116.699951,1130,1115.300049,1127.900024,1127.900024,1682
2016/2/2,1128.300049,1131.400024,1123,1127.300049,1127.300049,1230
2016/2/3,1128.5,1146,1125,1141.300049,1141.300049,1630
2016/2/4,1142.5,1157.599976,1141,1157.599976,1157.599976,771
2016/2/5,1155.599976,1174.800049,1146,1157.800049,1157.800049,877
2016/2/7,null,null,null,null,null,null
2016/2/8,1173.5,1200.400024,1165,1197.900024,1197.900024,931
2016/2/9,1188.699951,1199.199951,1186.699951,1198.699951,1198.699951,700
2016/2/10,1189.800049,1197.699951,1182.099976,1194.699951,1194.699951,671
2016/2/11,1205.599976,1260.800049,1204.599976,1247.900024,1247.900024,995
2016/2/12,1247.800049,1247.800049,1233.5,1239.099976,1239.099976,250
2016/2/14,null,null,null,null,null,null
2016/2/15,null,null,null,null,null,null
2016/2/16,1233.099976,1233.599976,1193.599976,1207.900024,1207.900024,422
2016/2/17,1196.5,1212.900024,1196.5,1211.099976,1211.099976,53
2016/2/18,1209.599976,1239.199951,1201.599976,1226.099976,1226.099976,315
2016/2/19,1230.800049,1232.800049,1221.800049,1230.400024,1230.400024,76
2016/2/21,null,null,null,null,null,null
2016/2/22,1226.099976,1226.099976,1203,1209.5,1209.5,280
2016/2/23,1207.400024,1226.099976,1207.400024,1222.300049,1222.300049,351
2016/2/24,1230,1250.099976,1230,1238.699951,1238.699951,111
2016/2/25,1239.400024,1241.5,1235,1238.199951,1238.199951,1349
2016/2/26,1232.400024,1239.099976,1212.199951,1219.800049,1219.800049,656
