Date,Open,High,Low,Treasury,Adj Close,Volume
2016/1/22,159.375,159.843994,158.188004,159.031006,159.031006,270137
2016/1/24,null,null,null,null,null,null
2016/1/25,158.938004,160.061996,158.75,159.625,159.625,187901
2016/1/26,160.061996,160.875,159.468994,160.156006,160.156006,189809
2016/1/27,160.156006,160.438004,158.968994,160,160,199337
2016/1/28,159.875,160.656006,159.125,160.061996,160.061996,280679
2016/1/29,160.188004,161.843994,159.906006,161.031006,161.031006,327517
2016/1/31,null,null,null,null,null,null
2016/2/1,161.25,161.688004,160.468994,160.531006,160.531006,219539
2016/2/2,160.906006,163.531006,160.875,163.031006,163.031006,294507
2016/2/3,163.438004,164.218994,162.156006,162.375,162.375,391465
2016/2/4,162.218994,163.25,161.656006,162.75,162.75,300176
2016/2/5,163.188004,163.688004,162.125,163.25,163.25,351374
2016/2/7,null,null,null,null,null,null
2016/2/8,163.5,166.125,162.875,166.031006,166.031006,363230
2016/2/9,165.688004,167.281006,165.25,166.125,166.125,375240
2016/2/10,166.25,167.906006,165.25,167.061996,167.061996,329883
2016/2/11,167.843994,170.811996,167.688004,168.343994,168.343994,558537
2016/2/12,168.218994,168.656006,166.156006,166.468994,166.468994,341455
2016/2/14,null,null,null,null,null,null
2016/2/15,null,null,null,null,null,null
2016/2/16,166.311996,166.5,165.061996,165.718994,165.718994,334470
2016/2/17,165.781006,166.375,163.938004,164.561996,164.561996,321814
2016/2/18,164.561996,166.593994,164.343994,166.093994,166.093994,273777
2016/2/19,166.561996,167.125,165.688004,166.593994,166.593994,300491
2016/2/21,null,null,null,null,null,null
2016/2/22,166.531006,166.688004,165.843994,166.188004,166.188004,219566
2016/2/23,166.468994,167.438004,164.781006,166.75,166.75,444435
2016/2/24,167.093994,168.781006,166.281006,166.688004,166.688004,539441
2016/2/25,166.406006,167.968994,166.156006,167.343994,167.343994,504471
2016/2/26,166.843994,166.968994,165.311996,165.625,165.625,274906
2016/2/28,null,null,null,null,null,null
2016/2/29,165.531006,166.25,165.468994,165.875,165.875,56605
2016/3/1,165.968994,166.656006,163.468994,163.688004,163.688004,21577
2016/3/2,163.843994,164.281006,163.375,164,164,18494
2016/3/3,164.156006,165.218994,163.811996,164.811996,164.811996,5902
2016/3/4,164.781006,165.906006,162.938004,163.593994,163.593994,7206
2016/3/6,null,null,null,null,null,null
2016/3/7,163.781006,163.781006,163.125,163.656006,163.656006,3713
2016/3/8,163.625,166.125,163.625,165.281006,165.281006,2779
2016/3/9,165.311996,165.311996,164,164.188004,164.188004,902
2016/3/10,164.781006,165.156006,163,163.718994,163.718994,1789
2016/3/11,163.781006,164.125,162.343994,162.561996,162.561996,829
2016/3/13,null,null,null,null,null,null
2016/3/14,162.5,163.343994,162.343994,162.811996,162.811996,573
2016/3/15,162.811996,163.843994,162.625,163.031006,163.031006,2290
2016/3/16,163,163.531006,162.468994,162.843994,162.843994,6707
2016/3/17,163.311996,164.438004,163.188004,164.061996,164.061996,945
2016/3/18,164.218994,165,164.093994,164.561996,164.561996,2485
2016/3/20,null,null,null,null,null,null
2016/3/21,164.593994,164.593994,163.125,163.531006,163.531006,184913
2016/3/22,161.906006,163,161.656006,161.906006,161.906006,211622
2016/3/23,161.75,163.593994,161.531006,163.5,163.5,208911
2016/3/24,163.281006,164.311996,162.5,163.031006,163.031006,194221
2016/3/27,null,null,null,null,null,null
2016/3/28,162.906006,163.718994,162.531006,163.531006,163.531006,103993
2016/3/29,163.188004,164.75,163,164.5,164.5,210009
2016/3/30,164.593994,164.656006,162.718994,163.468994,163.468994,251908
2016/3/31,163.593994,164.75,163.311996,164.438004,164.438004,236679
2016/4/1,164.561996,165.311996,164.031006,164.375,164.375,253220
2016/4/3,null,null,null,null,null,null
2016/4/4,164.906006,165.188004,164.281006,164.656006,164.656006,134575
2016/4/5,165,166.468994,164.938004,166.218994,166.218994,205577
2016/4/6,166.218994,166.218994,165,165.343994,165.343994,180773
2016/4/7,165.311996,167.188004,165.125,167,167,192422
